"INC NUMBER","OCCURRED ON","OCCURRED TO","UCR CRIME CATEGORY","100 BLOCK ADDR","ZIP","PREMISE TYPE"
"201500002119739",11/03/2015  17:30,11/03/2015  18:00,"LARCENY-THEFT","22XX E MCKINLEY ST","85006","APARTMENT"
"201500002126001",11/03/2015  17:30,11/04/2015  07:15,"LARCENY-THEFT","199XX N 23RD AVE","85027","APARTMENT"
"201500002118756",11/03/2015  17:31,,"LARCENY-THEFT","52XX W INDIAN SCHOOL RD","85031","GROCERY / SUPER MARKET"
"201500002279869",11/03/2015  17:32,,"LARCENY-THEFT","25XX W HAPPY VALLEY RD","85085","DEPARTMENT / DISCOUNT STORE"
"201500002118860",11/03/2015  17:35,11/03/2015  17:40,"MOTOR VEHICLE THEFT","23XX E WOOD ST","85040","VEHICLE"
"201500002118962",11/03/2015  17:40,,"LARCENY-THEFT","40XX E CHANDLER BLVD","85048","OFFICE / COMMERCIAL BUILDING"
"201500002118914",11/03/2015  17:40,11/03/2015  17:44,"LARCENY-THEFT","45XX E CACTUS RD","85032","DEPARTMENT / DISCOUNT STORE"
"201500002118990",11/03/2015  17:48,11/03/2015  17:48,"LARCENY-THEFT","65XX W HAPPY VALLEY RD","85083","GROCERY / SUPER MARKET"
"201500002118907",11/03/2015  17:49,,"LARCENY-THEFT","62XX S 16TH ST","85042","GROCERY / SUPER MARKET"
"201500002119406",11/03/2015  17:51,,"LARCENY-THEFT","62XX S 16TH ST","85042","GROCERY / SUPER MARKET"
"201500002121566",11/03/2015  17:56,11/04/2015  06:56,"BURGLARY","158XX N 11TH ST","85022","SINGLE FAMILY HOUSE"
"201500002156521",11/03/2015  18:00,11/07/2015  18:00,"LARCENY-THEFT","54XX E VAN BUREN ST","85034","CONDO / TOWNHOUSE"
"201500002121595",11/03/2015  18:00,11/04/2015  06:45,"LARCENY-THEFT","34XX W PASEO WAY","85339","VEHICLE"
"201500002120380",11/03/2015  18:00,11/03/2015  21:00,"BURGLARY","22XX E MCKINLEY ST","85006","APARTMENT"
"201500002119817",11/03/2015  18:00,11/03/2015  20:00,"MOTOR VEHICLE THEFT","28XX E WIER AVE","85040","APARTMENT"
"201500002123017",11/03/2015  18:00,11/04/2015  09:00,"LARCENY-THEFT","21XX W PARKSIDE LN","85027","OFFICE / COMMERCIAL BUILDING"
"201500002118972",11/03/2015  18:00,11/03/2015  19:00,"DRUG OFFENSE","157XX S 50TH ST","85048","CANAL / RIGHT-OF-WAY"
"201500002119025",11/03/2015  18:08,11/03/2015  18:08,"ROBBERY","E GLENDALE AVE & N 7TH ST","85020","DRUG STORE"
"201500002119185",11/03/2015  18:15,,"LARCENY-THEFT","25XX W VAN BUREN ST","85009","SPECIALTY STORE"
"201500002121558",11/03/2015  18:30,11/04/2015  06:45,"BURGLARY","40XX E BROADWAY RD","85040","RESTAURANT"
"201500002119453",11/03/2015  18:40,,"DRUG OFFENSE","42XX W PASADENA AVE","85019","SINGLE FAMILY HOUSE"
"201500002119720",11/03/2015  19:00,11/03/2015  19:15,"LARCENY-THEFT","31XX E THOMAS RD","85016","PARKING LOT"
"201500002121505",11/03/2015  19:00,11/04/2015  06:30,"BURGLARY","35XX W HOPI TRL","85339","SINGLE FAMILY HOUSE"
"201500002155520",11/03/2015  19:00,11/09/2015  09:55,"MOTOR VEHICLE THEFT","23XX W CARSON RD","85041","THEATRE"
"201500002121412",11/03/2015  19:00,11/04/2015  05:30,"LARCENY-THEFT","98XX S 51ST ST","85044","PARKING LOT"
"201500002119563",11/03/2015  19:05,11/03/2015  19:38,"DRUG OFFENSE","34XX N CENTRAL AVE","85013","RETAIL BUSINESS"
"201500002157102",11/03/2015  19:10,,"BURGLARY","16XX E CAMELBACK RD","85016","RETAIL BUSINESS"
"201500002137798",11/03/2015  19:11,11/04/2015  22:52,"RAPE","7XX W MARIPOSA ST","85013","GARAGE"
"201500002119588",11/03/2015  19:27,11/03/2015  19:27,"LARCENY-THEFT","16XX W BETHANY HOME RD","85015","RETAIL BUSINESS"
"201500002120143",11/03/2015  19:47,,"BURGLARY","38XX N 3RD AVE","85013","CONDO / TOWNHOUSE"
"201500002119697",11/03/2015  19:47,,"LARCENY-THEFT","21XX E BASELINE RD","85042","RETAIL BUSINESS"
"201500002123729",11/03/2015  20:00,11/03/2015  22:30,"MOTOR VEHICLE THEFT","73XX W MEADOWBROOK AVE","85033","SINGLE FAMILY HOUSE"
"201500002121409",11/03/2015  20:00,11/04/2015  05:45,"MOTOR VEHICLE THEFT","51XX N 22ND AVE","85015","PARKING LOT"
"201500002328015",11/03/2015  20:00,,"RAPE","61XX W MCDOWELL RD","85043","SINGLE FAMILY HOUSE"
"201500002121618",11/03/2015  20:00,11/04/2015  07:00,"LARCENY-THEFT","34XX W PASEO WAY","85339","SINGLE FAMILY HOUSE"
"201500002119808",11/03/2015  20:05,,"LARCENY-THEFT","35XX W CAMELBACK RD","85019","RETAIL BUSINESS"
"201500002119368",11/03/2015  20:13,,"LARCENY-THEFT","25XX W HAPPY VALLEY RD","85085","RETAIL BUSINESS"
"201510000015885",11/03/2015  20:20,11/03/2015  22:00,"LARCENY-THEFT","18XX E CAMELBACK RD","85016","DEPARTMENT / DISCOUNT STORE"
"201500002119915",11/03/2015  20:24,,"LARCENY-THEFT","31XX E THUNDERBIRD RD","85032","GROCERY / SUPER MARKET"
"201500002119996",11/03/2015  20:35,,"LARCENY-THEFT","45XX E CACTUS RD","85032","RETAIL BUSINESS"
"201500002121956",11/03/2015  20:50,11/03/2015  20:53,"LARCENY-THEFT","27XX W LA SALLE ST","85041","SINGLE FAMILY HOUSE"
"201500002120072",11/03/2015  20:51,,"BURGLARY","25XX E CORONA AVE","85040","APARTMENT"
"201500001981209",11/03/2015  20:54,11/03/2015  20:54,"MOTOR VEHICLE THEFT","42XX N 27TH AVE","85017","APARTMENT"
"201500002122159",11/03/2015  21:00,11/04/2015  09:00,"MOTOR VEHICLE THEFT","134XX N 44TH ST","85032","APARTMENT"
"201500002121712",11/03/2015  21:00,11/04/2015  07:00,"MOTOR VEHICLE THEFT","43XX N 53RD LN","85031","APARTMENT"
"201500002120908",11/03/2015  21:00,11/03/2015  23:59,"BURGLARY","42XX E MCDOWELL RD","85008","APARTMENT"
"201580008741",11/03/2015  21:06,,"LARCENY-THEFT","25XX N 24TH ST","85008","HOSPITIAL / NURSING CARE"
"201510000015880",11/03/2015  21:20,11/03/2015  21:25,"AGGRAVATED ASSAULT","26XX E BEVERLY LN","85032","SINGLE FAMILY HOUSE"
"201500002122054",11/03/2015  21:59,,"LARCENY-THEFT","8XX S 59TH AVE","85043","FENCED RESIDENTIAL YARD"
"201510000015955",11/03/2015  22:00,11/04/2015  10:00,"BURGLARY","39XX E BASELINE RD","85042","RESTAURANT"
"201500002120413",11/03/2015  22:00,11/04/2015  01:42,"ROBBERY","27XX W SWEETWATER AVE","85029","HOTEL / MOTEL"
"201500002120433",11/03/2015  22:05,,"LARCENY-THEFT","16XX W BETHANY HOME RD","85015","RETAIL BUSINESS"
"201500002125319",11/03/2015  22:30,11/04/2015  05:30,"LARCENY-THEFT","41XX E CAMBRIDGE AVE","85008","SINGLE FAMILY HOUSE"
"201500002121360",11/03/2015  22:45,11/04/2015  04:30,"BURGLARY","53XX W BUCKEYE RD","85043","RESTAURANT"
"201500002120713",11/03/2015  23:00,11/03/2015  23:19,"AGGRAVATED ASSAULT","66XX W ENCANTO BLVD","85035","PARK / PLAYGROUND"
"201500002121895",11/03/2015  23:00,11/04/2015  07:45,"LARCENY-THEFT","34XX W LA MIRADA DR","85339","SINGLE FAMILY HOUSE"
"201500002126698",11/04/2015  00:00,11/04/2015  20:55,"DRUG OFFENSE","14XX N 35TH ST","85008","SINGLE FAMILY HOUSE"
"201500002121037",11/04/2015  00:00,,"DRUG OFFENSE","E GREENWAY RD & N 39TH ST","85032","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002127221",11/04/2015  00:00,11/04/2015  23:00,"MOTOR VEHICLE THEFT","39XX W POLLACK ST","85041","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002121913",11/04/2015  00:01,11/04/2015  09:00,"LARCENY-THEFT","42XX N 68TH LN","85033","VEHICLE"
"201500002126988",11/04/2015  00:01,11/04/2015  21:00,"LARCENY-THEFT","42XX E WINDROSE DR","85032","PARKING LOT"
"201500002137267",11/04/2015  00:01,11/04/2015  23:59,"MOTOR VEHICLE THEFT","37XX W NORTHERN AVE","85051","APARTMENT"
"201500002162309",11/04/2015  00:01,11/06/2015  23:59,"MOTOR VEHICLE THEFT","7XX W CAMELBACK RD","85013","UNKNOWN"
"201500002122447",11/04/2015  00:25,11/04/2015  00:45,"AGGRAVATED ASSAULT","1XX N 2ND ST","85004","BAR / LOUNG / NIGHT CLUB"
"201500002167400",11/04/2015  00:32,11/11/2015  00:32,"LARCENY-THEFT","62XX W MCDOWELL RD","85043","VEHICLE"
"201500002120918",11/04/2015  00:54,,"DRUG OFFENSE","1XX W CATALINA DR","85013",
"201500002201939",11/04/2015  01:00,11/16/2015  12:06,"LARCENY-THEFT","33XX W THUNDERBIRD RD","85029","APARTMENT"
"201500002121988",11/04/2015  02:00,11/04/2015  08:20,"MOTOR VEHICLE THEFT","41XX N 55TH AVE","85031","APARTMENT"
"201500002122095",11/04/2015  02:00,11/04/2015  04:00,"LARCENY-THEFT","32XX E ALMERIA RD","85008","SINGLE FAMILY HOUSE"
"201500002121351",11/04/2015  02:00,11/04/2015  05:20,"MOTOR VEHICLE THEFT","57XX W THOMAS RD","85031","APARTMENT"
"201500002121470",11/04/2015  02:00,11/04/2015  06:00,"BURGLARY","31XX E THOMAS RD","85008","FAST FOOD STORE"
"201500002121141",11/04/2015  02:40,11/04/2015  02:45,"LARCENY-THEFT","27XX W LAWRENCE LN","85051","SINGLE FAMILY HOUSE"
"201500002125919",11/04/2015  03:00,11/04/2015  03:00,"LARCENY-THEFT","21XX W MARCONI AVE","85023","DRIVEWAY"
"201500002122072",11/04/2015  03:42,11/04/2015  03:55,"BURGLARY","47XX S 48TH ST","85040","RESTAURANT"
"201500002121271",11/04/2015  04:35,,"BURGLARY","18XX W NORTHERN AVE","85021","RETAIL BUSINESS"
"201500002121295",11/04/2015  04:49,,"BURGLARY","47XX W CAMPBELL AVE","85031","SINGLE FAMILY HOUSE"
"201500002125845",11/04/2015  05:30,11/04/2015  18:00,"MOTOR VEHICLE THEFT","28XX W GLENDALE AVE","85017","OTHER"
"201500002125767",11/04/2015  05:30,11/04/2015  18:00,"BURGLARY","38XX W KINGS AVE","85053","SINGLE FAMILY HOUSE"
"201500002125998",11/04/2015  06:00,11/04/2015  18:39,"BURGLARY","49XX E TIERRA BUENA LN","85254","SINGLE FAMILY HOUSE"
"201500002125609",11/04/2015  06:00,11/04/2015  17:30,"MOTOR VEHICLE THEFT","32XX S 73RD DR","85043","DRIVEWAY"
"201500002125441",11/04/2015  06:00,11/04/2015  09:30,"BURGLARY","28XX W MCKINLEY ST","85009","07A STOREROOM/SHED (RESIDENTIAL)"
"201500002121552",11/04/2015  06:30,,"MOTOR VEHICLE THEFT","66XX W POLK ST","85043","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002124823",11/04/2015  07:20,11/04/2015  16:00,"BURGLARY","48XX N 96TH AVE","85037","SINGLE FAMILY HOUSE"
"201500002125202",11/04/2015  07:30,11/04/2015  16:52,"BURGLARY","35XX E OAK ST","85008","SINGLE FAMILY HOUSE"
"201500002121887",11/04/2015  07:30,11/04/2015  07:30,"LARCENY-THEFT","7XX S 7TH AVE","85003","RESTAURANT"
"201500002122077",11/04/2015  07:55,11/04/2015  08:45,"LARCENY-THEFT","25XX W NORTHERN AVE","85051","RETAIL BUSINESS"
"201500002123295",11/04/2015  08:00,11/04/2015  12:00,"BURGLARY","45XX E CAPISTRANO AVE","85044","SINGLE FAMILY HOUSE"
"201500002123331",11/04/2015  08:00,11/04/2015  12:00,"BURGLARY","71XX W WARNER ST","85043","SINGLE FAMILY HOUSE"
"201500002125871",11/04/2015  08:00,,"BURGLARY","106XX S 44TH PL","85044","SINGLE FAMILY HOUSE"
"201500002115460",11/04/2015  08:00,11/04/2015  08:02,"MOTOR VEHICLE THEFT","1XX E GREENWAY PKWY","85022","APARTMENT"
"201500002121960",11/04/2015  08:20,11/04/2015  08:20,"BURGLARY","46XX W MCDOWELL RD","85035","APARTMENT"
"201500002124985",11/04/2015  08:30,11/04/2015  16:00,"BURGLARY","45XX W WELDON AVE","85031","SINGLE FAMILY HOUSE"
"201500002122088",11/04/2015  08:30,11/04/2015  09:00,"DRUG OFFENSE","81XX N BLACK CANYON FWY","85051","HOTEL / MOTEL"
"201500002122073",11/04/2015  08:45,12/18/2015  15:22,"MOTOR VEHICLE THEFT","4XX N 52ND ST","85008","APARTMENT"
"201500002122070",11/04/2015  08:47,,"AGGRAVATED ASSAULT","4XX W MONROE ST","85003",
"201500002123235",11/04/2015  09:00,11/04/2015  12:05,"BURGLARY","42XX N 48TH DR","85031","SINGLE FAMILY HOUSE"
"201500002122365",11/04/2015  09:30,11/04/2015  09:45,"DRUG OFFENSE","62XX W DURANGO ST","85043","SCHOOL-ELEMENTARY/SECONDARY"
"201500002123197",11/04/2015  09:30,11/04/2015  09:45,"LARCENY-THEFT","44XX E CAMPBELL AVE","85018","VEHICLE"
"201500002122271",11/04/2015  09:32,11/04/2015  09:32,"DRUG OFFENSE","41XX N BLACK CANYON FWY","85017","HOTEL / MOTEL"
"201500002122292",11/04/2015  09:34,11/04/2015  09:34,"DRUG OFFENSE","E PIMA CANYON RD & S 48TH ST","85044","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002122503",11/04/2015  09:45,11/04/2015  10:10,"LARCENY-THEFT","61XX N 35TH AVE","85017","RETAIL BUSINESS"
"201500002122750",11/04/2015  09:45,,"DRUG OFFENSE","45XX N CENTRAL AVE","85012","SCHOOL-COLLEGE/UNIVERSITY"
"201500002122341",11/04/2015  09:47,11/04/2015  09:47,"AGGRAVATED ASSAULT","46XX E BRIARWOOD TER","85048","SINGLE FAMILY HOUSE"
"201500002132851",11/04/2015  10:00,11/04/2015  14:00,"BURGLARY","12XX N 40TH ST","85008","APARTMENT"
"201500002122830",11/04/2015  10:00,11/04/2015  10:15,"DRUG OFFENSE","62XX W DURANGO ST","85043","SCHOOL-ELEMENTARY/SECONDARY"
"201500002126128",11/04/2015  10:00,11/04/2015  18:45,"LARCENY-THEFT","52XX E THOMAS RD","85008","PARKING LOT"
"201500002124493",11/04/2015  10:15,11/04/2015  14:30,"BURGLARY","29XX E CANNON DR","85028","SINGLE FAMILY HOUSE"
"201500002123044",11/04/2015  10:20,11/04/2015  10:40,"BURGLARY","18XX N 62ND LN","85035","SINGLE FAMILY HOUSE"
"201500002123226",11/04/2015  10:30,11/04/2015  12:00,"BURGLARY","15XX E COLTER ST","85014","APARTMENT"
"201500002124875",11/04/2015  10:30,11/04/2015  16:00,"LARCENY-THEFT","21XX E CAMELBACK RD","85016","PARKING GARAGE"
"201500002122712",11/04/2015  10:35,11/04/2015  10:40,"ROBBERY","11XX W HATCHER RD","85021","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002139157",11/04/2015  11:00,11/06/2015  18:00,"LARCENY-THEFT","52XX W BRANHAM LN","85339","DRIVEWAY"
"201500002124556",11/04/2015  11:00,11/04/2015  15:23,"BURGLARY","38XX W SUNNYSIDE AVE","85029","SINGLE FAMILY HOUSE"
"201500002122938",11/04/2015  11:00,11/04/2015  11:15,"MOTOR VEHICLE THEFT","67XX W THOMAS RD","85035","PARK / PLAYGROUND"
"201500002142973",11/04/2015  11:00,11/04/2015  13:00,"LARCENY-THEFT","15XX E OSBORN RD","85014","MEDICAL OFFICE"
"201500002231631",11/04/2015  11:00,11/04/2015  11:15,"MOTOR VEHICLE THEFT","67XX W THOMAS RD","85035","PARKING LOT"
"201500002122817",11/04/2015  11:02,,"LARCENY-THEFT","8XX W SOUTHERN AVE","85041","GROCERY / SUPER MARKET"
"201500002122873",11/04/2015  11:10,,"ROBBERY","31XX N 36TH ST","85018","APARTMENT"
"201500001965286",11/04/2015  11:17,11/04/2015  11:17,"LARCENY-THEFT","N CENTRAL AVE & W THOMAS RD","85003","VEHICLE"
"201500002122951",11/04/2015  11:23,,"BURGLARY","22XX N 56TH AVE","85035","SINGLE FAMILY HOUSE"
"201500002123007",11/04/2015  11:24,,"LARCENY-THEFT","53XX N 27TH AVE","85017","CONVENIENCE MARKET / STORE"
"201510000015990",11/04/2015  11:25,11/04/2015  12:45,"DRUG OFFENSE","26XX W PIERSON ST","85017","APARTMENT"
"201500002122967",11/04/2015  11:26,11/04/2015  14:32,"RAPE","36XX E PERSHING AVE","85032","SINGLE FAMILY HOUSE"
"201500002123016",11/04/2015  11:30,11/04/2015  11:35,"LARCENY-THEFT","18XX W SOUTHERN AVE","85041","RETAIL BUSINESS"
"201500002123157",11/04/2015  11:30,11/04/2015  11:55,"ROBBERY","34XX W GLENDALE AVE","85017","PARKING LOT"
"201500002128920",11/04/2015  11:30,11/04/2015  12:15,"LARCENY-THEFT","138XX N 35TH DR","85053","OFFICE / COMMERCIAL BUILDING"
"201500002123055",11/04/2015  11:41,,"LARCENY-THEFT","61XX N 35TH AVE","85017","RETAIL BUSINESS"
"201500002127313",11/04/2015  11:43,11/04/2015  23:43,"DRUG OFFENSE","18XX W BELL RD","85023","PARKING LOT"
"201580008520",11/04/2015  11:59,11/04/2015  11:59,"LARCENY-THEFT","116XX N BLACK CANYON FWY","85029","PARKING LOT"
"201500002163462",11/04/2015  12:00,11/10/2015  13:30,"LARCENY-THEFT","31XX W ROVEY AVE","85017","SINGLE FAMILY HOUSE"
"201500002121368",11/04/2015  12:00,,"MOTOR VEHICLE THEFT","8XX E OLD SOUTHERN AVE","85042","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002137341",11/04/2015  12:00,11/06/2015  14:00,"LARCENY-THEFT","37XX E VAN BUREN ST","85034","HOTEL / MOTEL"
"201700000950736",11/04/2015  12:00,06/01/2017  10:50,"LARCENY-THEFT","8XX N 75TH AVE","85043","PARKING LOT"
"201500002123320",11/04/2015  12:02,11/04/2015  12:04,"LARCENY-THEFT","3XX N CENTRAL AVE","85003","BUS STATION"
"201500002123205",11/04/2015  12:06,11/04/2015  12:06,"LARCENY-THEFT","77XX W THOMAS RD","85033","RETAIL BUSINESS"
"201510000016028",11/04/2015  12:27,11/04/2015  12:27,"DRUG OFFENSE","33XX W VAN BUREN ST","85009","PARKING LOT"
"201500002123368",11/04/2015  12:30,11/04/2015  12:30,"LARCENY-THEFT","18XX W THUNDERBIRD RD","85029","CONVENIENCE MARKET / STORE"
"201500002128609",11/04/2015  12:44,,"LARCENY-THEFT","35XX W GREENWAY RD","85053","PARKING LOT"
"201500002123487",11/04/2015  12:45,,"MOTOR VEHICLE THEFT","25XX E TAMARISK AVE","85040","STREET / ROADWAY / ALLEY / SIDEWALK"
"201580008338",11/04/2015  13:00,,"LARCENY-THEFT","34XX E SKY HARBOR BLVD","85034","AIRPORT"
"201500002123792",11/04/2015  13:00,11/04/2015  13:44,"BURGLARY","49XX E MARILYN RD","85254","SINGLE FAMILY HOUSE"
"201500002124301",11/04/2015  13:40,11/04/2015  14:45,"BURGLARY","50XX N 41ST AVE","85019","CONDO / TOWNHOUSE"
"201500002124072",11/04/2015  14:00,11/04/2015  14:15,"LARCENY-THEFT","25XX W NORTHERN AVE","85051","GROCERY / SUPER MARKET"
"201500002124092",11/04/2015  14:20,11/04/2015  14:25,"LARCENY-THEFT","66XX W THOMAS RD","85035","CONVENIENCE MARKET / STORE"
"201500002124231",11/04/2015  14:37,11/04/2015  14:37,"LARCENY-THEFT","65XX W THOMAS RD","85033","CONVENIENCE MARKET / STORE"
"201500002124313",11/04/2015  14:40,11/04/2015  14:50,"LARCENY-THEFT","E BELL RD & N 7TH ST","85022","BANK / SAVINGS / CREDIT UNION"
"201510000015973",11/04/2015  14:40,11/04/2015  14:40,"DRUG OFFENSE","41XX N 27TH AVE","85017","PARKING LOT"
"201500002124232",11/04/2015  14:45,,"DRUG OFFENSE","42XX W SUNLAND AVE","85041","SINGLE FAMILY HOUSE"
"201500002124258",11/04/2015  14:47,11/04/2015  14:47,"LARCENY-THEFT","24XX E THOMAS RD","85016","CONVENIENCE MARKET / STORE"
"201510000015976",11/04/2015  14:50,11/04/2015  14:50,"DRUG OFFENSE","41XX N 27TH AVE","85017","PARKING LOT"
"201500002301197",11/04/2015  15:00,,"LARCENY-THEFT","35XX E THOMAS RD","85018","PARK / PLAYGROUND"
"201500002129618",11/04/2015  15:00,11/04/2015  18:00,"LARCENY-THEFT","66XX W ENCANTO BLVD","85035","PARK / PLAYGROUND"
"201500002129118",11/04/2015  15:00,11/04/2015  20:00,"MOTOR VEHICLE THEFT","30XX E CULVER ST","85008",
"201500002124178",11/04/2015  15:00,11/04/2015  15:00,"LARCENY-THEFT","3XX E MCDOWELL RD","85004","GROCERY / SUPER MARKET"
"201500002158823",11/04/2015  15:00,,"LARCENY-THEFT","12XX N 40TH ST","85008","APARTMENT"
"201500002124357",11/04/2015  15:00,11/04/2015  15:00,"AGGRAVATED ASSAULT","N 21ST AVE & W NORTHERN AVE","85021","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002124649",11/04/2015  15:15,11/04/2015  15:35,"LARCENY-THEFT","61XX S 35TH AVE","85041","RETAIL BUSINESS"
"201500002124642",11/04/2015  15:30,11/04/2015  15:30,"RAPE","16XX W THOMAS RD","85015","SINGLE FAMILY HOUSE"
"201500002126025",11/04/2015  15:30,11/04/2015  18:30,"LARCENY-THEFT","4XX N 20TH AVE","85009","SINGLE FAMILY HOUSE"
"201500002129722",11/04/2015  15:35,11/04/2015  15:35,"DRUG OFFENSE","72XX W LOWER BUCKEYE RD","85043","SCHOOL-COLLEGE/UNIVERSITY"
"201500002136916",11/04/2015  16:00,11/05/2015  22:00,"BURGLARY","XX E COLUMBUS AVE","85012","SINGLE FAMILY HOUSE"
"201500002128963",11/04/2015  16:00,11/05/2015  09:00,"LARCENY-THEFT","234XX N 35TH DR","85310","FENCED COMMERCIAL YARD"
"201500002125213",11/04/2015  16:00,11/04/2015  16:52,"MOTOR VEHICLE THEFT","52XX W MCDOWELL RD","85043","PARKING LOT"
"201500002130685",11/04/2015  16:12,,"LARCENY-THEFT","48XX W CORONADO RD","85035","VEHICLE"
"201500002124928",11/04/2015  16:14,11/04/2015  16:14,"LARCENY-THEFT","30XX E SAN MIGUEL AVE","85016","VEHICLE"
"201500002180746",11/04/2015  16:30,11/04/2015  17:30,"LARCENY-THEFT","9XX E INDIAN SCHOOL RD","85014","PARKING LOT"
"201500002125357",11/04/2015  17:00,11/04/2015  17:10,"LARCENY-THEFT","50XX W LOWER BUCKEYE RD","85043","CONVENIENCE MARKET / STORE"
"201500002128634",11/04/2015  17:00,11/05/2015  07:00,"LARCENY-THEFT","27XX W MARSHALL AVE","85017","VEHICLE"
"201500002172238",11/04/2015  17:00,11/11/2015  17:00,"LARCENY-THEFT","128XX N CAVE CREEK RD","85022","APARTMENT"
"201580008324",11/04/2015  17:00,,"LARCENY-THEFT","90XX N CAVE CREEK RD","85020","OTHER"
"201500002184448",11/04/2015  17:00,11/09/2015  16:00,"LARCENY-THEFT","16XX N 31ST PL","85008","UNKNOWN"
"201500002125281",11/04/2015  17:02,,"LARCENY-THEFT","24XX E THOMAS RD","85016","DRUG STORE"
"201500002125294",11/04/2015  17:06,11/04/2015  17:06,"DRUG OFFENSE","15XX E MONROE ST","85034","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002125344",11/04/2015  17:20,11/04/2015  17:20,"DRUG OFFENSE","172XX N 19TH AVE","85023","RETAIL BUSINESS"
"201500002125687",11/04/2015  17:28,11/04/2015  17:28,"LARCENY-THEFT","16XX W BETHANY HOME RD","85015","RETAIL BUSINESS"
"201500002125618",11/04/2015  17:35,11/04/2015  17:31,"DRUG OFFENSE","26XX S 7TH AVE","85007","VEHICLE"
"201500002126537",11/04/2015  17:38,,"BURGLARY","154XX N 40TH ST","85032","CONVENIENCE MARKET / STORE"
"201500002159375",11/04/2015  18:00,11/05/2015  08:00,"LARCENY-THEFT","8XX N 62ND AVE","85043","SINGLE FAMILY HOUSE"
"201500002157768",11/04/2015  18:00,11/09/2015  15:00,"MOTOR VEHICLE THEFT","233XX N 18TH DR","85027","RETAIL BUSINESS"
"201510000016021",11/04/2015  18:00,11/04/2015  18:10,"LARCENY-THEFT","19XX E CAMELBACK RD","85016","RETAIL BUSINESS"
"201500002126033",11/04/2015  18:00,,"LARCENY-THEFT","7XX W CAMELBACK RD","85013","PARKING LOT"
"201500002132256",11/04/2015  18:00,11/05/2015  06:00,"LARCENY-THEFT","37XX W MCDOWELL RD","85009","APARTMENT"
"201500002128649",11/04/2015  18:00,11/05/2015  08:54,"LARCENY-THEFT","21XX E BLUEFIELD AVE","85022","VEHICLE"
"201500002125728",11/04/2015  18:04,,"LARCENY-THEFT","47XX E RAY RD","85044","DEPARTMENT / DISCOUNT STORE"
"201500002125803",11/04/2015  18:05,11/04/2015  18:05,"LARCENY-THEFT","35XX W PEORIA AVE","85029","RETAIL BUSINESS"
"201500002127995",11/04/2015  18:15,11/05/2015  05:45,"BURGLARY","84XX S 35TH AVE","85339","SINGLE FAMILY HOUSE"
"201500002126708",11/04/2015  18:25,,"LARCENY-THEFT","65XX S 72ND AVE","85339","SINGLE FAMILY HOUSE"
"201500002126089",11/04/2015  18:40,11/04/2015  18:50,"AGGRAVATED ASSAULT","67XX W LATHAM ST","85043","PARKING LOT"
"201500002126435",11/04/2015  18:43,11/04/2015  18:43,"LARCENY-THEFT","83XX W CAMELBACK RD","85037","DRUG STORE"
"201500002122581",11/04/2015  18:56,11/04/2015  18:56,"MOTOR VEHICLE THEFT","99XX W SOUTHGATE AVE","85353",
"201500002130204",11/04/2015  19:00,11/05/2015  13:28,"BURGLARY","46XX W FAIRMOUNT AVE","85031","SINGLE FAMILY HOUSE"
"201500002126170",11/04/2015  19:06,,"LARCENY-THEFT","34XX W THUNDERBIRD RD","85029","GROCERY / SUPER MARKET"
"201500002125740",11/04/2015  19:34,11/04/2015  19:40,"DRUG OFFENSE","86XX N 37TH AVE","85051","SINGLE FAMILY HOUSE"
"201500002156040",11/04/2015  19:34,11/04/2015  19:43,"LARCENY-THEFT","210XX N TATUM BLVD","85054","RETAIL BUSINESS"
"201500002126332",11/04/2015  19:37,11/04/2015  19:37,"ROBBERY","11XX W BELL RD","85023","APARTMENT"
"201500002126423",11/04/2015  19:57,11/04/2015  20:05,"DRUG OFFENSE","23XX W HOLLY ST","85009","ADULT ONLY STORE / MOVIE"
"201500002126599",11/04/2015  20:00,11/04/2015  20:30,"LARCENY-THEFT","3XX W HATCHER RD","85021","VEHICLE"
"201500002131190",11/04/2015  20:00,11/05/2015  15:00,"LARCENY-THEFT","85XX N 22ND AVE","85021","APARTMENT"
"201500002126574",11/04/2015  20:26,,"ROBBERY","19XX E INDIAN SCHOOL RD","85016","CONVENIENCE MARKET / STORE"
"201500002126767",11/04/2015  20:30,11/04/2015  20:40,"LARCENY-THEFT","45XX E THOMAS RD","85008","DEPARTMENT / DISCOUNT STORE"
"201510000016018",11/04/2015  20:45,11/04/2015  21:30,"LARCENY-THEFT","38XX N MARYVALE PKWY","85031","APARTMENT"
"201500002126738",11/04/2015  20:58,,"RAPE","29XX N 60TH AVE","85033","PARKING LOT"
"201500002128647",11/04/2015  21:00,11/05/2015  08:25,"LARCENY-THEFT","67XX W INDIAN SCHOOL RD","85033","APARTMENT"
"201500002126802",11/04/2015  21:17,11/04/2015  21:18,"ROBBERY","47XX E SOUTHERN AVE","85042","DEPARTMENT / DISCOUNT STORE"
